responseText,upVoteCount,downVoteCount,templatesCount
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",28,1,23
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",19,0,18
I am against EIA 2020.,13,0,15
"1. First of all, I would expect Ministry to extend the Public Consultation to earlier 45 days.
A. In this, I would expect the Ministry to advertise on day one on the upcoming Project details to the Public in all leading Information distributors like Newspapers (both local and National), local TV channels etc.
B. Conduct F2F meeting from a representative (something like Ombudsman even NGT is fine) outside of the Ministry to access who is a neutral person (not belonging to any Minister's family or the Investor of the Projects family) with local representatives including public and edify them on the upcoming Projects (its advantages mostly including disadvantages as well). If Ministry feels the Project is very much relevant and needed for the development, they need to connect specifically with People who say ""No"".
2. This requires the Monitoring period to be very frequent (today is very agile world).
3 & 4. For Enviornmental Clearance, the same representative is responsible for saying ""YES"" at first level and later it would go to Ministries process for Final approval.
Once the Clearance is provided for any of the Category mentioned, make the Project public with Total estimation of Project and what is duration. We see many Projects are announced with advantages to people but none of them have the duration and how much Public money is spilled for those Projects.
5. Here would request NGT to be active and provide their guidance and inputs on the field to Public so that the Project is not struck for years and later we see sometimes the Project is shelved.",4,0,8
"Dear Mr. Mishra This is with reference to the draft EIA notification 2020 which was uploaded on the environment ministry's website om 12/03/2020. I raise my strong objection to the following points presented in the draft notification and request you to withdraw these notifications as it would have strong negative consequences for ecology and biodiversity of the country. 1. Point 7 on page 9 gave government total discretion on approving any kind of project which could very well be used by strong companies or mafia to create pressure on the government. 2. The list of exemptions mentioned in page 19 of the draft under the head public consultation gives exemption to virtually every project, for example the provision for relaxation given to companies for development in area with 100km aerial distance from LAC covers almost all of the north eastern states which is rich in biodiversity and these provision can cause serious damage to the environment. Not following Environment norms resulted in fire at the Baghjan well and these types of incidents will only rise if proper checks and measure isn't established. Roads are however important in development of northeastern states and i appreciate the initiative taken by government in this regard. 3. The concept of post facto clearence would give many industries a bypass to follow environment safety measures by paying a small fee and would act like a big blockage in the road towards sustainable development. This is also in direct contradiction to the order of supreme court dated 1st April 2020 stating POST FACTO CLEARENCE ARE CONTRARY TO LAW. 4. The inability of general public to register any kind if complaints and giving that power to only government and those that are currently involved in breaking the law would mean skipping an important step in keeping check and measures and would serve nothing but dire consequences for the environment and the ecology. 5. I raise strong objection to point 7 on page 9 which states that ""no information will be made public in regards to the decisions by the appraisal committee"" clearly is in violation to our right to information and a serious threat to the democratic fabric of our government. It is therefore my earnest request to make changes to the above mentioned provisions and reintroduce the draft after making necessary changes in the draft.",1,0,6
"Stop this EIA2020 act.. economic development should not be used as a trump card for killing our environment. We can recover from economic disaster after few years, but environmental disaster is irreversible. Hence I am against this act",1,0,4
"மக்கள் நலன் கருதி eia2020 கை விட வேண்டும்..... மக்கள் கருத்துக்களை கொண்டு முடிவு செய்ய வேண்டும் என்று கேட்டுக் கொள்கிறேன்.Eia 2020 மக்கள் வாழ்வில் பெரும் அளவில் உள்ளன,,, இதை  நாம் ஒன்றாக சேர்ந்து இதற்கு குரல் கொடுப்போம்",8,0,3
Monitoring of any project during and after implementation has to be strictly adhered to and audited by an independent third party. The current pandemic has shown is the impact unfettered development has had on the environment. It is unfortunate that large business houses and small operators will go to any extent for personal gain. They don't care about any environmental impact. SHOULD WE BE HANDING OUR FUTURE TO THEM WITHOUT ANY CHECK'S AND BALANCES?,1,0,3
Stop this EIA2020 act.. Dont waste our natural resources and environment..,2,0,2
"I'm against the EIA2020 act it will mostly affect the nature, environment also human beings.we must keep the natural reserves for future. It is our hope",1,0,2
